ParcelID,SaleDate,SalePrice,Story,TotalSF,BldgAV,TotalAV,UseCode,NH,NHQual,ExtWalls,Grade,PctGood,FinAttic,FinBsmt,AV_SF,SP_SF
14-32-155-009,7/25/2014,148400,1 Story,912,37309,45646,R 0040,50,1.015771,Alum/Vinyl,10,98,0,1,150.15,162.72
14-32-155-010,3/3/2014,151000,1 Story,1528,41501,50062,R 0040,50,1.015771,Alum/Vinyl,10,98,0,0,98.29,98.82
14-32-155-032,8/4/2014,202000,1 Story,1460,54770,65543,R 0040,50,1.015771,Alum/Vinyl,12,98,0,1,134.68,138.36
14-32-155-034,9/10/2010,164500,1 Story,1066,47671,56695,R 0040,50,1.015771,Alum/Vinyl,12,98,0,1,159.55,154.32
14-32-176-001,7/15/2011,163000,2 & 1 Story,2172,48646,58408,R 0040,50,1.015771,Wood,12,98,0,0,80.67,75.05
14-32-176-002,11/1/2012,155900,2 Story,1766,42577,51998,R 0040,50,1.015771,Alum/Vinyl,10,98,0,0,88.33,88.28
14-32-176-003,5/13/2011,157000,2 & 1 Story,1512,39116,48614,R 0040,50,1.015771,Alum/Vinyl,10,98,0,1,96.46,103.84
14-32-178-024,6/18/2014,116500,2 & 1 Story,1517,35688,43347,R 0040,50,1.015771,Alum/Vinyl,10,98,0,0,85.72,76.8
14-32-178-027,8/23/2013,130000,2 & 1 Story,1616,34171,41704,R 0040,50,1.015771,Alum/Vinyl,10,98,0,0,77.42,80.45
14-32-178-033,9/17/2010,124000,Dr/Bi-Level,960,34355,41888,R 0040,50,1.015771,Alum/Vinyl,10,98,0,1,130.9,129.17
14-32-178-034,3/18/2013,114000,Dr/Bi-Level,1060,34975,42508,R 0040,50,1.015771,Alum/Vinyl,10,98,0,1,120.31,107.55
14-32-178-040,3/11/2015,129000,Dr/Bi-Level,964,36172,45336,R 0040,50,1.015771,Alum/Vinyl,10,98,0,1,141.09,133.82
14-32-179-006,8/31/2012,126500,Dr/Bi-Level,960,33605,42226,R 0040,50,1.015771,Alum/Vinyl,10,98,0,1,131.96,131.77
14-32-179-007,9/25/2009,136500,Dr/Bi-Level,960,38449,47070,R 0040,50,1.015771,Alum/Vinyl,10,98,0,1,147.09,142.19
14-32-179-010,8/16/2010,145000,2 Story,1738,40194,48815,R 0040,50,1.015771,Alum/Vinyl,10,98,0,0,84.26,83.43
14-32-179-011,4/21/2010,147000,2 Story,1742,37913,46534,R 0040,50,1.015771,Alum/Vinyl,10,98,0,0,80.14,84.39
14-32-179-012,6/12/2009,146000,2 Story,1598,38100,46721,R 0040,50,1.015771,Alum/Vinyl,10,98,0,0,87.71,91.36
14-32-179-016,3/31/2010,205000,2 Story,1976,51082,59572,R 0040,50,1.015771,Alum/Vinyl,13,98,0,0,90.44,103.74
14-32-179-017,9/19/2014,175000,2 Story,1963,51249,59739,R 0040,50,1.015771,Alum/Vinyl,12,98,0,0,91.3,89.15
14-32-179-020,9/26/2014,165000,Dr/Bi-Level,1212,40813,50886,R 0040,50,1.015771,Alum/Vinyl,10,98,0,1,125.96,136.14
14-32-180-001,7/31/2014,138500,1 Story,1078,35653,44101,R 0040,50,1.015771,Alum/Vinyl,10,98,0,1,122.73,128.48
14-32-180-003,3/25/2014,149000,1 Story,1036,42137,49313,R 0040,50,1.015771,Alum/Vinyl,8,98,0,1,142.8,143.82
14-32-180-008,5/19/2011,158800,1 Story,1275,49912,57504,R 0040,50,1.015771,Alum/Vinyl,10,98,0,1,135.3,124.55
14-32-181-002,7/19/2013,179750,2 & 1 Story,1987,54141,62034,R 0040,50,1.015771,Alum/Vinyl,12,98,0,1,93.66,90.46
14-32-181-007,4/9/2013,193000,2 & 1 Story,1722,55197,66164,R 0040,50,1.015771,Alum/Vinyl,12,98,0,1,115.27,112.08
14-32-376-005,11/27/2013,104500,1 Story,1287,20641,27845,R 0040,37,0.915946,Alum/Vinyl,4,65,0,0,64.91,81.2
14-32-377-002,5/21/2010,138000,1 Story,1400,32742,43735,R 0040,37,0.915946,Wood,13,78,0,0,93.72,98.57
14-32-378-030,10/3/2011,75000,1.5 Unfinished,1306,15530,32667,R 0040,37,0.915946,Alum/Vinyl,8,58,0,0,75.04,57.43
14-32-380-001,4/30/2010,146000,St Bi-Level,1260,40666,46646,R 0040,37,0.915946,Brick,12,85,0,1,111.06,115.87
14-32-380-003,1/8/2010,122000,1 Story,1092,27866,34780,R 0040,37,0.915946,Alum/Vinyl,9,75,0,1,95.55,111.72
14-32-380-008,3/4/2011,101500,1 Story,960,26527,33265,R 0040,37,0.915946,Alum/Vinyl,9,78,0,0,103.95,105.73
14-32-380-011,11/27/2012,115500,1 Story,1131,27734,34965,R 0040,37,0.915946,Alum/Vinyl,9,85,0,0,92.75,102.12
14-32-381-005,6/29/2011,94500,1 Story,1458,23657,29810,R 0040,37,0.915946,Alum/Vinyl,7,70,0,0,61.34,64.81
14-32-382-005,9/9/2015,126500,1 Story,1283,30086,38785,R 0040,37,0.915946,Brick,10,80,0,0,90.69,98.6
14-32-401-004,1/27/2011,50500,1 Story,1188,0,0,R 0040,37,0.915946,Alum/Vinyl,12,98,0,0,120.02,42.51
14-32-401-013,7/1/2013,58900,1 Story,989,15798,21865,R 0040,37,0.915946,Alum/Vinyl,8,70,0,0,66.32,59.56
14-32-401-019,7/13/2010,157900,St Bi-Level,1085,36134,49274,R 0040,70,1.035448,Alum/Vinyl,10,98,0,1,136.24,145.53
14-32-401-027,6/6/2014,143000,2 Story,1512,37510,46089,R 0040,70,1.035448,Alum/Vinyl,10,98,0,0,91.45,94.58
14-32-401-035,11/15/2012,124900,2 Story,1836,41853,53649,R 0040,70,1.035448,Alum/Vinyl,10,98,0,1,87.66,68.03
14-32-401-041,11/20/2013,132000,1 Story,920,33780,45627,R 0040,70,1.035448,Alum/Vinyl,10,98,0,1,148.78,143.48
14-32-401-047,6/25/2014,147000,1 Story,1188,28506,38549,R 0040,70,1.035448,Alum/Vinyl,12,98,0,0,97.35,123.74
14-32-402-015,10/4/2013,66000,1 Story,783,18275,26032,R 0040,37,0.915946,Alum/Vinyl,4,60,0,0,99.74,84.29
14-32-403-018,4/30/2013,80000,1.5 & 1 Story,1433,17070,23542,R 0040,37,0.915946,Alum/Vinyl,5,63,0,0,49.29,55.83
14-32-403-024,9/30/2015,65000,1 Story,1056,23184,30067,R 0040,37,0.915946,Wood,9,85,0,0,85.42,61.55
14-32-403-025,6/10/2009,109000,Dr/Bi-Level,966,26007,32770,R 0040,37,0.915946,Alum/Vinyl,9,87,0,0,101.77,112.84
14-32-404-007,4/22/2013,62500,1.5 & 1 Story,1340,14912,22067,R 0040,37,0.915946,Alum/Vinyl,4,53,0,0,49.4,46.64
14-32-406-004,6/26/2015,85000,1 Story,836,17302,24547,R 0040,37,0.915946,Alum/Vinyl,4,70,0,0,88.09,101.67
14-32-406-009,5/20/2011,87000,1 Story,1178,20593,27091,R 0040,37,0.915946,Alum/Vinyl,9,72,0,0,68.99,73.85
14-32-427-016,8/22/2014,91000,1.5 & 1 Story,1523,22220,27909,R 0040,37,0.915946,Alum/Vinyl,7,78,0,0,54.98,59.75
14-32-428-016,4/30/2010,50500,1 Story,565,8870,16357,R 0040,37,0.915946,Wood,1,50,0,0,86.85,89.38
14-32-429-009,3/26/2015,10200,1 Story,554,12312,16186,R 0040,37,0.915946,Alum/Vinyl,3,55,0,0,87.65,18.41
14-32-429-025,3/30/2015,117000,1 Story,1498,34416,41650,R 0040,37,0.915946,Wood,10,85,0,1,83.41,78.1
14-32-430-013,7/28/2010,88500,1 Story,733,17183,26241,R 0040,37,0.915946,Alum/Vinyl,4,65,0,0,107.4,120.74
14-32-430-026,8/22/2014,131000,1 Story,1550,36957,47321,R 0040,37,0.915946,Brick,13,95,0,0,91.59,84.52
14-32-430-031,10/9/2015,113000,St Bi-Level,768,27380,33692,R 0040,37,0.915946,Alum/Vinyl,8,91,0,1,131.61,147.14
14-32-431-009,5/29/2015,89000,1 Story,1056,25388,31381,R 0040,37,0.915946,Alum/Vinyl,5,80,0,0,89.15,84.28
14-32-431-010,5/13/2010,86500,2 & 1 Story,1349,18484,24477,R 0040,37,0.915946,Alum/Vinyl,4,80,0,0,54.43,64.12
